spec_index,tb,vm_298K,C_number,H_number,S_number,N_number,O_number,mw,aromatic_ring_number,naphthenic_ring_number,thiophene_ring_number,total_ring_number,cetane_number_Beta,cetane_number,tm,gasoline_piona_type
329,682.6778607,434.3,27,52,0,0,0,376.70178,0,2,0,2,0.0727,30.6,327.8484589,4
330,691.2423473,450.8,28,54,0,0,0,390.72836,0,2,0,2,0.0727,30.6,332.1612774,4
331,699.5169763,467.3,29,56,0,0,0,404.75494,0,2,0,2,0.0727,30.6,336.3483095,4
332,542.8072198,214.7,15,26,0,0,0,206.36694,0,3,0,3,0.0727,40,270.3981454,4
333,557.7830593,231.2,16,28,0,0,0,220.39352,0,3,0,3,0.0727,35,276.7864717,4
334,571.8943722,247.7,17,30,0,0,0,234.4201,0,3,0,3,0.0727,35,282.9026109,4
335,585.2355492,264.2,18,32,0,0,0,248.44668,0,3,0,3,0.0727,30.6,288.7688123,4
336,597.8863194,280.7,19,34,0,0,0,262.47326,0,3,0,3,0.0727,30.6,294.4047041,4
337,609.9146376,297.2,20,36,0,0,0,276.49984,0,3,0,3,0.0727,30.6,299.8276893,4
338,621.3788948,313.7,21,38,0,0,0,290.52642,0,3,0,3,0.0727,30.6,305.0532699,4
339,632.3296322,330.2,22,40,0,0,0,304.553,0,3,0,3,0.0727,30.6,310.0953142,4
340,642.8108887,346.7,23,42,0,0,0,318.57958,0,3,0,3,0.0727,30.6,314.9662785,4
341,652.86127,363.2,24,44,0,0,0,332.60616,0,3,0,3,0.0727,30.6,319.6773925,4
342,662.5148075,379.7,25,46,0,0,0,346.63274,0,3,0,3,0.0727,30.6,324.2388154,4
343,671.8016535,396.2,26,48,0,0,0,360.65932,0,3,0,3,0.0727,30.6,328.6597675,4
344,680.7486493,412.7,27,50,0,0,0,374.6859,0,3,0,3,0.0727,30.6,332.9486426,4
345,689.3797926,429.2,28,52,0,0,0,388.71248,0,3,0,3,0.0727,30.6,337.1131041,4
346,697.7166261,445.7,29,54,0,0,0,402.73906,0,3,0,3,0.0727,30.6,341.160167,4
347,520.0586135,205,13,20,0,0,0,176.2979,1,0,0,1,3.1967,37.5,236.62158,5
348,536.4466987,221.5,14,22,0,0,0,190.32448,1,0,0,1,3.1967,39.2,244.6577022,5
349,551.8050678,238,15,24,0,0,0,204.35106,1,0,0,1,3.1967,50.1,252.267759,5
350,566.255507,254.5,16,26,0,0,0,218.37764,1,0,0,1,3.1967,56.8,259.4946636,5
351,579.8993978,271,17,28,0,0,0,232.40422,1,0,0,1,3.1967,56.3,266.3751557,5
352,592.8220351,287.5,18,30,0,0,0,246.4308,1,0,0,1,3.1967,62.8,272.9409314,5
353,605.0958603,304,19,32,0,0,0,260.45738,1,0,0,1,3.1967,50.5,279.2195263,5
354,616.7829209,320.5,20,34,0,0,0,274.48396,1,0,0,1,3.1967,40,285.2350132,5
355,627.9367685,337,21,36,0,0,0,288.51054,1,0,0,1,3.1967,40,291.0085595,5
356,638.6039423,353.5,22,38,0,0,0,302.53712,1,0,0,1,3.1967,40,296.5588764,5
357,648.8251426,370,23,40,0,0,0,316.5637,1,0,0,1,3.1967,40,301.9025854,5
358,658.6361682,386.5,24,42,0,0,0,330.59028,1,0,0,1,3.1967,40,307.0545177,5
359,668.0686734,403,25,44,0,0,0,344.61686,1,0,0,1,3.1967,40,312.0279628,5
360,677.1507839,419.5,26,46,0,0,0,358.64344,1,0,0,1,3.1967,40,316.8348751,5
361,685.9076026,436,27,48,0,0,0,372.67002,1,0,0,1,3.1967,40,321.4860466,5
362,694.3616279,452.5,28,50,0,0,0,386.6966,1,0,0,1,3.1967,40,325.9912532,5
363,702.5331016,469,29,52,0,0,0,400.72318,1,0,0,1,3.1967,40,330.3593783,5
364,503.3930873,156.4,11,14,0,0,0,146.22886,1,1,0,2,3.1967,6.7,293.8680256,5
365,519.7406903,173.7,12,16,0,0,0,160.25544,1,1,0,2,3.1967,3.5,286.157467,5
366,536.1493976,190.2,13,18,0,0,0,174.28202,1,1,0,2,3.1967,7.9,291.8947657,5
367,551.5258765,206.7,14,20,0,0,0,188.3086,1,1,0,2,3.1967,8,297.411576,5
368,565.9923459,223.2,15,22,0,0,0,202.33518,1,1,0,2,3.1967,9,302.7242198,5
369,579.650526,239.7,16,24,0,0,0,216.36176,1,1,0,2,3.1967,12,307.8472708,5
370,592.5859808,256.2,17,26,0,0,0,230.38834,1,1,0,2,3.1967,15,312.7937962,5
371,604.8713678,272.7,18,28,0,0,0,244.41492,1,1,0,2,3.1967,17.9,317.5755568,5
372,616.5689106,289.2,19,30,0,0,0,258.4415,1,1,0,2,3.1967,18,322.2031763,5
373,627.7323052,305.7,20,32,0,0,0,272.46808,1,1,0,2,3.1967,20,326.6862825,5
374,638.4082106,322.2,21,34,0,0,0,286.49466,1,1,0,2,3.1967,21,331.0336287,5
375,648.6374272,338.7,22,36,0,0,0,300.52124,1,1,0,2,3.1967,22,335.2531961,5
376,658.4558384,355.2,23,38,0,0,0,314.54782,1,1,0,2,3.1967,23,339.3522822,5
377,667.89517,371.7,24,40,0,0,0,328.5744,1,1,0,2,3.1967,24,343.3375765,5
378,676.9836089,388.2,25,42,0,0,0,342.60098,1,1,0,2,3.1967,25,347.2152266,5
379,685.7463106,404.7,26,44,0,0,0,356.62756,1,1,0,2,3.1967,25,350.990895,5
380,694.2058188,421.2,27,46,0,0,0,370.65414,1,1,0,2,3.1967,25,354.6698086,5
381,702.3824151,437.7,28,48,0,0,0,384.68072,1,1,0,2,3.1967,25,358.2568026,5
382,580.3075467,207.6,15,20,0,0,0,200.3193,1,2,0,3,3.1967,6.7,349.1545841,5
383,592.3496984,224.9,16,22,0,0,0,214.34588,1,2,0,3,3.1967,3.5,343.9536759,5
384,604.6466691,241.4,17,24,0,0,0,228.37246,1,2,0,3,3.1967,7.9,347.8149429,5
385,616.3547129,257.9,18,26,0,0,0,242.39904,1,2,0,3,3.1967,8,351.5750769,5
386,627.5276708,274.4,19,28,0,0,0,256.42562,1,2,0,3,3.1967,9,355.2392406,5
387,638.212322,290.9,20,30,0,0,0,270.4522,1,2,0,3,3.1967,12,358.8122113,5
388,648.4495676,307.4,21,32,0,0,0,284.47878,1,2,0,3,3.1967,15,362.298418,5
389,658.2753754,323.9,22,34,0,0,0,298.50536,1,2,0,3,3.1967,17.9,365.701975,5
390,667.7215433,340.4,23,36,0,0,0,312.53194,1,2,0,3,3.1967,18,369.0267106,5
391,676.8163195,356.9,24,38,0,0,0,326.55852,1,2,0,3,3.1967,20,372.276193,5
392,685.5849121,373.4,25,40,0,0,0,340.5851,1,2,0,3,3.1967,21,375.4537536,5
393,694.0499105,389.9,26,42,0,0,0,354.61168,1,2,0,3,3.1967,22,378.5625073,5
394,702.2316357,406.4,27,44,0,0,0,368.63826,1,2,0,3,3.1967,23,381.6053709,5
395,527.0948217,142.8,11,10,0,0,0,142.1971,2,0,0,2,3.1967,0,316.431411,5
